"player_id","name","team","handle","source"
"8131","최윤석","SSG","cho_1ys","namu:최윤석(야구선수)"
"36","장규현","한화","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"3765","석정우","SSG","zlxpen","namu:석정우"
"92","오장한","NC","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"7956","김민규","KIA","min__gyuu19","namu:김민규(야구선수)"
"8403","전의산","SSG","jeon_ui_san","namu:전의산"
"2685","최원준","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"135","이정훈","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"58","안현민","KT","_min_el_dorado","namu:안현민"
"12","고명준","SSG","myeongjun.ko","namu:고명준"
"5425","김재상","삼성","_kjaes_","namu:김재상(야구선수)"
"174","이우성","NC","l_ee_h_k","namu:이우성"
"82","허경민","KT","heo_jamong_","namu:허경민"
"20","문성주","LG","sung__ju.8","namu:문성주"
"141","박성한","SSG","sung_han_","namu:박성한"
"8141","김상준","삼성","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"101","구자욱","삼성","koojawook","namu:구자욱"
"41","오스틴","LG","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"7933","김민혁","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"38","레이예스","롯데","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"150","조수행","두산","soo.haeng_51","namu:조수행"
"8026","이재원","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"116","강백호","한화","h0_baek","namu:강백호(야구선수)"
"3787","박정현","한화","lenaparklive","namu:박정현"
"70","김태연","한화","tea_yeon_kim","namu:김태연(야구선수)"
"62","류현인","KT","ryu.h.i","namu:류현인"
"56","페라자","한화","la_perla_negra15","namu:페라자"
"183","최형우","삼성","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"3752","박상준","KIA","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"8342","고승민","롯데","gsm__222","namu:고승민"
"100","박준순","두산","noos_.nuj","namu:박준순"
"147","권동진","KT","__djkwon","namu:권동진(야구선수)"
"11","류지혁","삼성","i_hyun_deun_el","namu:류지혁"
"3311","채현우","SSG","hyunwoo__15","namu:채현우"
"146","한준수","KIA","jun__su_han25","namu:한준수"
"69","김상수","KT","225studio.official","namu:김상수"
"60","박민우","NC","roy____park__","namu:박민우"
"118","박찬혁","키움","cool__hyeok","namu:박찬혁"
"2417","문보경","LG","moon__bo_07","namu:문보경"
"3786","주효상","KIA","joo__h__s","namu:주효상"
"2484","한석현","NC","han9405","namu:한석현"
"34","유준규","KT","__so._.happy","namu:유준규"
"127","최준우","SSG","c7._.junwoo","namu:최준우"
"171","박정우","KIA","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"196","김주원","NC","k__ju_1_","namu:김주원"
"189","문현빈","한화","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"136","카메론","두산","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"73","박건우","NC","kunwoo90","namu:박건우"
"180","정준재","SSG","jjeong_junjae","namu:정준재"
"39","최정","SSG","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"94","김지찬","삼성","01kimjichan","namu:김지찬"
"13","디아즈","삼성","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"173","박재현","KIA","nxx.oe","namu:박재현(야구선수)"
"87","황성빈","롯데","bin__ooo","namu:황성빈"
"8","안치홍","키움","anchihong13","namu:안치홍"
"89","허인서","한화","_in__seo__","namu:허인서"
"14","김휘집","NC","_jipjip_44","namu:김휘집"
"111","홍대인","SSG","ghdeodls","namu:홍대인"
"104","심우준","한화","w.j.sim","namu:심우준"
"26","김성윤","삼성","yo39on","namu:김성윤"
"154","김민석","두산","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"97","오윤석","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"83","박지훈","두산","0529.jihoon.ig","namu:박지훈"
"22","힐리어드","KT","senorsamuelson","namu:힐리어드"
"145","박승욱","롯데","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"45","이도윤","한화","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"140","김현수","KT","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"3751","이원석","한화","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"55","송찬의","LG","javy_ce_66","namu:송찬의"
"51","나성범","KIA","sungbum_na.47","namu:나성범"
"2","구본혁","LG","_9bon_","namu:구본혁"
"3759","박승규","삼성","seung_kyu00","namu:박승규"
"3799","김도환","삼성","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"3778","문정빈","LG","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"155","김선빈","KIA","ksb___3","namu:김선빈"
"167","전민재","롯데","m__j_13","namu:전민재"
"162","안상현","SSG","a_xx.h_","namu:안상현(야구선수)"
"5","김호령","KIA","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"24","오지환","LG","oh_ye_sh_sh","namu:오지환"
"57","박해민","LG","hm_denden17","namu:박해민"
"21","천성호","LG","seongho___53","namu:천성호"
"37","장두성","롯데","duseong_jang7","namu:장두성"
"197","김규성","KIA","_k__k__s_","namu:김규성"
"152","박찬호","두산","chanhopark61","namu:박찬호"
"124","오명진","두산","audwls6","namu:오명진"
"59","김도영","KIA","im.__.zandi","namu:김도영"
"186","김한별","NC","","err:원격 서버에서 (404) 찾을 수 없음 오류를 반환했습"
"115","노시환","한화","hwanisi","namu:노시환"
"31","에레디아","SSG","heredia54","namu:에레디아"
"43","서건창","키움","seo___bb","namu:서건창"
"71","김헌곤","삼성","gjsrhs11","namu:김헌곤"
